"","Ibovespa","Variação","Quantidade"
"107",57635.4275296,-0.04,3251326
"108",57661.1403446,0.12,3458271
"109",57593.8952118,0.91,4321703
"110",57076.9134889,1.63,4184072
"111",56162.3798206,-1.05,3977021
"112",56755.7595418,-0.96,4214353
"113",57308.2094659,1.13,4553067
"114",56667.1177247,-0.33,3912619
"115",56852.8420149,0.12,3913070
"116",56782.7508594,-0.16,3455494
"117",56872.7267231,-0.23,3223637
"118",57002.0804821,0.64,3002119
"119",56641.4865373,0.11,3594677
"120",56578.0472252,-0.21,4004535
"121",56698.0605926,0.38,3911311
"122",56484.2157713,1.63,4107728
"123",55578.2388467,0.18,3798465
"124",55480.8684666,1.62,4544786
"125",54598.2847151,0.63,4162040
"126",54256.4074296,0.55,3998745
"127",53960.1147003,1.54,3305455
"128",53140.74,2.16,3088100
"129",52014.6559405,0.22,3827036
"130",51901.8080899,0.11,3378403
"131",51842.2705001,-1.38,3217899
"132",52568.6566545,0.64,2081818
"133",52233.0442241,1.37,4243369
"134",51526.9264423,1.03,4513205
"135",51001.9087716,1.99,4092914
"136",50006.5644243,1.55,3511754
"137",49245.5315555,-1.72,3330588
"138",50105.2614346,-2.82,4267066
"139",51559.8177803,2.8,3264735
"140",50156.303731,-1.34,3745304
"141",50837.8047424,1.01,3452756
"142",50329.364271,1.61,3594797
"143",49533.8415401,0.25,4380252
"144",49411.6183904,1.02,4007439
"145",48914.7403716,0.55,5164671
"146",48648.2946023,-2.04,4005247
"147",49660.7897738,0.48,2711908
"148",49422.1594812,-3.32,3069465
"149",51118.4624364,-0.99,3312559
"150",51629.2929105,2.26,4346589
"151",50487.8578892,0.11,3050427
"152",50431.8009358,-0.37,3111873
"153",50619.4982442,1.47,3432384
"154",49887.243488,1.78,3634796
"155",49012.6518239,1.12,3391810
"156",48471.7089264,-1.01,5802783
"157",48964.3422439,-0.18,1205400
"158",49051.4913298,-0.87,2795691
"159",49482.8594555,0.28,3580024
"160",49345.1878907,0.03,3236031
"161",49330.4226601,-0.79,3518444
"162",49722.7453679,-0.82,3355244
"163",50132.5314825,-0.85,4026299
"164",50561.7025498,-0.55,4198544
"165",50839.443619,-1.86,3990828
"166",51802.9201674,0,3638663
"167",51804.307253,-2.7,4447664
"168",53241.3148149,0.9,4773609
"169",52764.4621109,-0.58,4484477
"170",53070.9061165,4.08,4207615
"171",50990.0648876,-1.41,5091058
"172",51717.8257275,0.09,3397976
"173",51671.0402311,-1.68,3653088
"174",52552.797222,0.56,4395695
"175",52260.1874679,-2.43,4012770
"176",53561.5342108,-0.65,3387678
"177",53910.507001,-0.74,5049948
"178",54311.9662306,-0.3,4550017
"179",54477.7818095,2.63,5049426
"180",53082.5017489,2.35,3865360
"181",51861.7136468,-1.98,3807436
"182",52907.8780387,-1.35,4391090
"183",53630.930252,-0.15,4694907
"184",53710.0465615,1.54,5189617
"185",52894.0794115,-0.63,4525969
"186",53227.7399528,1.56,5203865
"187",52411.0165079,-1.39,5662029
"188",53149.8406831,2.21,6573703
"189",52001.8635844,3.66,5306134
"190",50165.4745566,-0.25,4175993
"191",50292.9268394,3.67,5203785
"192",48513.0999117,0.87,3154518
"193",48096.2404009,-1.95,3927842
"194",49053.6153628,0.56,3655789
"195",48779.9850301,-3.52,3666521
"196",50561.5260757,1.01,4010921
"197",50055.273101,-2.33,4383363
"198",51248.9242865,0.18,4876922
"199",51154.9937195,0.62,4454542
"200",50838.2261822,2.38,3624504
"201",49657.3906046,-0.07,3802456
"202",49690.0469635,-2.59,3751194
"203",51010.1940374,-0.32,4017136
"204",51171.545881,0.7,3823248
"205",50814.656041,-0.19,5616864
"206",50913.7892663,6.6,7469322
"207",47763.4317436,1.34,5269066
"208",47130.0225753,-3.56,5672423
"209",48867.3344993,-1.55,4949609
"210",49638.6753134,0.14,6187794
"211",49571.1051594,1.86,7698099
"212",48665.0907243,-0.89,6423294
"213",49102.1351614,-0.29,7371651
"214",49246.1015987,0.33,5897453
"215",49084.8678195,4.01,10602350
"216",47193.3915698,5.12,9310270
"217",44893.4810581,1.75,5164460
"218",44121.7914561,3.1,4752706
"219",42793.8599897,2.89,4611937
"220",41593.0794015,-0.7,3375852
"221",41887.9024619,-0.47,4046714
"222",42084.55673,-1.03,3631745
"223",42520.9412041,-1.65,3923014
"224",43234.8549229,4.07,4647878
"225",41543.4046123,0.16,3400711
"226",41477.632447,-0.37,3644223
"227",41630.8157481,1.67,5471193
"228",40947.6950951,2.13,4042559
"229",40092.8920666,0.72,1746707
"230",39808.0457941,1.25,3430744
"231",39318.3029113,-2.62,3793960
"232",40376.5797938,-0.53,NA
"233",40592.0941216,-0.56,3668985
"234",40821.7359774,3.11,5555170
"235",39588.8164015,2.57,4369207
"236",38596.1673167,-4.87,4562151
"237",40570.0362224,0.41,3774927
"238",40405.9901619,4.6,5645030
"239",38630.1920529,0.66,4602689
"240",38376.3675581,2.34,4792442
"241",37497.4761792,-1.4,3718594
"242",38031.2204516,0.83,4327290
"243",37717.1087047,0.19,3890302
"244",37645.4781611,-1.08,4080817
"245",38057.0139487,0.32,3139147
"246",37937.2728066,-1.64,2227989
"247",38569.1251415,-2.36,4202507
"248",39500.1081907,1.43,3988208
"249",38944.4400201,-1.44,3679960
"250",39513.8277364,-1.09,3488428
"251",39950.490599,-1.63,3181860
"252",40612.207227,-0.2,3321157
"253",40694.7205464,-2.58,4156976
"254",41773.142994,-1.52,4057569
"255",42419.3213212,0.66,2636262
"256",42141.0369867,-2.79,3068284
"257",43349.9602613,-0.7,2762073
"258",43653.9674481,-0.25,1727651
"259",43764.3378098,-0.57,1848691
"260",44014.9340363,1.25,2578747
"261",43469.5159717,0.62,2656696
"262",43199.953917,-1.62,3559665
"263",43910.5984119,-2.98,4705897
"264",45261.4793684,0.55,3122491
"265",45015.8451305,0.32,3427111
"266",44872.467707,0.28,2637643
"267",44747.3142877,-1.14,2558343
"268",45262.7231435,-0.81,3383409
"269",45630.7093122,-1.04,3750789
"270",46108.02591,3.75,4583937
"271",44443.2562229,-1.72,3302315
"272",45222.6994137,-0.3,2941480
"273",45360.7587709,-2.23,3629796
"274",46393.2619084,3.29,4558194
"275",44914.5330802,-0.29,4308723
"276",45046.7502852,-0.16,4305545
"277",45120.3608793,-1.64,7386424
"278",45872.9155474,-2.7,3125670
"279",47145.6312293,0.6,2359059
"280",46866.63466,-2.94,4098989
"281",48284.1891755,0.28,3552319
"282",48150.272352,0.02,3378952
"283",48138.8850019,1.48,4194910
"284",47435.5771999,0.4,4088052
"285",47247.8020938,0.86,3445009
"286",46846.8738247,0.71,3242162
"287",46517.0387421,-0.78,3625972
"288",46883.5765441,-0.39,3251798
"289",47065.0109319,1.86,3166744
"290",46206.5676266,0.03,2476056
"291",46194.9201659,-1.54,2349012
"292",46918.515478,-2.35,3186749
"293",48046.7575846,0.71,3189044
"294",47710.0987974,-0.71,3739410
"295",48053.6684426,4.76,4746209
"296",45868.8176035,0.53,3331281
"297",45628.3532365,-2.38,3177303
"298",46740.8481146,-0.64,4085248
"299",47042.9473611,-0.35,3443777
"300",47209.3225503,-0.81,2527188
"301",47596.5883432,-0.37,3592258
"302",47772.1407293,1.59,3220747
"303",47025.8661644,-0.11,3048840
"304",47076.5523227,-0.78,3399038
"305",47447.3122572,0.45,3133571
"306",47236.1038278,0.16,3647094
"307",47161.15,0.96,3653001
"308",46710.4377785,-1.38,6141671
"309",47362.6379639,-4,4351558
"310",49338.4126337,0.47,4692043
"311",49106.5570807,0.39,3695877
"312",48914.3218022,2.47,6248056
"313",47735.1107959,0.29,3370845
"314",47598.0689803,1.2,3323679
"315",47033.4595937,3.8,4125082
"316",45313.2712271,0.56,3889907
"317",45059.3447983,2.1,4980573
"318",44131.8244855,0.4,3052272
"319",43956.62798,-1.95,2857555
"320",44831.4604868,-1.02,3232252
"321",45291.9666328,-0.11,4465736
"322",45340.1097671,-2,4084534
"323",46264.6076579,-0.7,4322773
"324",46590.1979385,-1.43,2681615
"325",47264.0818587,-2.65,4516541
"326",48551.077507,0,4314091
"327",48553.0976122,2.51,4453875
"328",47364.0684149,0.17,3672199
"329",47281.5181839,1.9,3690108
"330",46400.5050367,-0.22,3615283
"331",46503.9941192,-0.33,4621908
"332",46657.0978004,-0.22,3813580
"333",46762.0697583,0.57,2939213
"334",46497.7204461,-1.83,4303986
"335",47365.8730204,1.94,4229914
"336",46463.9616358,2.17,3855783
"337",45477.0601441,-2.46,3778328
"338",46625.520077,-1.12,4953961
"339",47153.8691097,-1.18,3895479
"340",47715.27335,3.64,4383548
"341",46038.0769973,3.35,3856062
"342",44544.8540872,0.47,3841918
"343",44336.4712539,-3.03,4873873
"344",45719.6401348,-1.99,2958375
"345",46649.231147,0.13,3036751
"346",46588.3910183,-1.82,3336902
"347",47450.5808335,0.49,3654185
"348",47217.4275031,-0.61,2486356
"349",47508.4052704,-1.04,2971352
"350",48009.5657323,-0.78,3285000
"351",48388.0463525,-1.39,4365459
"352",49072.3399784,-0.57,3288048
"353",49353.0027528,1.6,2930049
"354",48577.3230459,-2.87,3317935
"355",50011.3236364,-0.55,3753440
"356",50287.2702145,0.46,2750103
"357",50058.4865964,-0.16,2752972
"358",50138.0483709,-1.43,2694013
"359",50864.7715285,1.94,3142165
"360",49897.4037179,-0.69,3261190
"361",50245.1454574,1.3,3746784
"362",49601.598631,1.78,4137610
"363",48735.543684,-1.04,3489083
"364",49245.84,-1.13,3744801
"365",49806.62,-2.18,4310848
"366",50915.78,-1.09,3219881
"367",51474.28,-0.24,3033569
"368",51600.07,-1.42,2716492
"369",52341.8,-1.37,2516288
"370",53069.75,0.32,2139907
"371",52902.28,-0.63,2612000
"372",53239.17,0.23,2740920
"373",53119.47,1.01,2687479
"374",52590.72,1.56,2761466
"375",51781.74,-1.07,2969398
"376",52343.71,0.37,3648384
"377",52149.37,-0.7,2653123
"378",52519.4,-1.1,1544926
"379",53106.18,0.66,3090849
"380",52757.53,-0.61,2797896
"381",53080.88,0.13,3114478
"382",53014.21,-1.86,2629521
"383",54016.97,1.58,2789119
"384",53175.66,-1.24,3334905
"385",53842.53,0.13,2815624
"386",53772.43,-0.17,2706498
"387",53863.67,0.21,2427210
"388",53749.41,-0.9,2948185
"389",54238.59,1.86,2747419
"390",53248.54,-0.84,3085842
"391",53702.15,1.06,3381847
"392",53137.53,-0.39,2688340
"393",53347.53,-0.64,2453109
"394",53688.51,-0.35,3189181
"395",53876.44,2.01,3698521
"396",52815.99,0.01,3791772
"397",52809.63,-0.31,2662367
"398",52973.37,-1.03,2813461
"399",53522.9,-1.32,3420098
"400",54236.43,2.27,3583478
"401",53031.31,0.51,2758061
"402",52760.47,-2.25,5725076
"403",53976.27,-0.48,3004645
"404",54236.25,1.13,3583124
"405",53629.78,-1.79,3426957
"406",54609.25,0.43,1654206
"407",54377.29,-1.33,3803178
"408",55112.05,0.38,3405913
"409",54901.02,-1.08,3380056
"410",55498.82,-1.26,3322746
"411",56204.23,-1.82,3895263
"412",57248.63,1.04,2983928
"413",56656.57,0.5,3309088
"414",56372.04,-0.74,3166747
"415",56792.05,-0.71,3183086
"416",57197.1,0.08,3057993
"417",57149.33,0.4,3410939
"418",56921.39,-0.32,3065102
"419",57103.14,-1.63,4598417
"420",58051.61,1.22,3903794
"421",57353.98,2,3492590
"422",56229.38,1.63,4947523
"423",55325.29,-0.87,3888356
"424",55812.03,0.5,4082582
"425",55534.5,-1.87,3854258
"426",56594.22,1.63,4982038
"427",55684.85,1.95,5535066
"428",54617.36,1.59,3700600
"429",53761.27,-0.36,2688021
"430",53954.79,-1.32,3537233
"431",54674.21,-0.45,4132996
"432",54918.74,1.74,4069591
"433",53981.92,-0.48,3747086
"434",54239.77,0.05,3660322
"435",54214.11,0.76,3682967
"436",53802.66,0.26,4338285
"437",53661.11,-0.13,4780429
"438",53729.16,-0.02,3487120
"439",53737.26,1.16,3322148
"440",53123.02,1.53,4266455
"441",52321.76,2.29,4411535
"442",51150.16,-0.18,3511300
"443",51243.45,2.29,2798452
"444",50094.66,-0.96,3927650
"445",50579.85,-2.47,3638500
"446",51858.3,0.68,4774634
"447",51506.07,-0.78,3436456
"448",51908.46,-0.11,3397488
"449",51966.58,1.99,4916763
"450",50953.53,-1.11,3263564
"451",51526.19,2.47,4458894
"452",50285.12,2.94,4013882
"453",48848.21,0.52,3155437
"454",48595.81,-0.58,4475599
"455",48880.4,-0.05,3833169
"456",48905.58,1.27,3839695
"457",48293.4,-1.8,4434294
"458",49181.01,-1.6,3299116
"459",49981.19,-0.76,2787839
"460",50365.2,-0.2,2732467
"461",50468.05,-1.63,3654687
"462",51304.1,0.56,2746169
"463",51020.81,-1.09,2793671
"464",51583.09,-0.34,4177311
"465",51760.54,-0.1,3238977
"466",51811.02,-0.12,3477249
"467",51874.17,1.16,3004176
"468",51280.64,0.08,2824504
"469",51237.7,-0.11,2208689
"470",51294.03,0.03,2485146
"471",51280.36,1.27,2940688
"472",50635.92,2.23,3888107
"473",49532.72,2.68,3828520
"474",48239.67,-0.56,4307622
"475",48510.28,-1.77,3796049
"476",49382.58,1.21,3658907
"477",48792.27,-0.9,4591440
"478",49233.85,-0.14,4003968
"479",49301.05,0.69,4811275
"480",48963.66,2.76,4819816
"481",47650.73,1.58,3247780
"482",46907.68,-1.79,4846621
"483",47762.24,0.14,4405476
"484",47694.54,-1.85,4241414
"485",48591.23,0.03,3890909
"486",48576.55,-0.41,2774186
"487",48775.3,-1.35,3081606
"488",49442.62,0.44,4952273
"489",49224.08,2.81,3561430
"490",47876.66,0.25,2899144
"491",47758.01,-2.57,2096017
"492",49016.52,2.06,3344912
"493",48026.31,0.8,4463625
"494",47645.87,-0.82,3697182
"495",48041.67,-0.2,3881645
"496",48139.74,-1.43,3246063
"497",48840.25,-2.21,2999244
"498",49943.3,0.97,3621862
"499",49462.91,3.05,4408794
"500",48000.92,1.02,4559276
"501",47516.82,-2.05,3866056
"502",48512.22,-2.99,2882090
"503",50007.41,-1.16,2925304
"504",50593.82,0.9,1852527
"505",50144.63,-1.46,1911144
"506",50889.81,1.53,2668328
"507",50120.86,0.95,2675205
"508",49650.98,2.38,3620415
"509",48495.7,-0.45,4240484
"510",48713.64,3.63,6209492
"511",47007.51,-0.02,5339881
"512",47018.68,-2.05,4685720
"513",48001.98,-3.73,3756728
"514",49861.81,0.63,3828879
"515",49548.08,-1.29,3168907
"516",50193.47,-0.16,3852878
"517",50274.07,-3.31,3302589
"518",51992.89,1.1,2530145
"519",51426.87,-1.71,2913305
"520",52320.48,1.37,2724607
"521",51612.47,-1.27,3296415
"522",52276.58,-4.47,4312809
"523",54724,0,2637724
"524",54721.32,-0.68,2292717
"525",55098.47,-0.83,3033293
"526",55560.81,0.28,5033206
"527",55406.91,-1.21,4588699
"528",56084.04,5.02,6026202
"529",53402.81,2.58,4251304
"530",52061.86,1.57,3639741
"531",51256.99,-1,2824585
"532",51772.4,-0.14,3789284
"533",51846.03,-2.14,3032941
"534",52978.89,0.96,3198594
"535",52474.27,-0.48,2678503
"536",52725.38,-0.93,2973736
"537",53222.85,1.11,3592633
"538",52637.06,-1.98,3692537
"539",53698.42,-1.26,2901570
"540",54383.59,0.81,3529761
"541",53947.21,-1.25,3665198
"542",54628.6,4.38,5348249
"543",52336.83,2.52,4299676
"544",51049.32,-2.45,4915304
"545",52330.03,3.62,5761341
"546",50503.66,-2.77,7999298
"547",51940.73,2.42,5852055
"548",50713.26,-3.24,6346135
"549",52411.03,-0.04,3755447
"550",52432.43,-3.44,6577961
"551",54302.57,-2.55,3868320
"552",55723.79,2.63,4406308
"553",54298.33,-3.27,5427807
"554",56135.27,-3.24,5671150
"555",58015.46,0.1,3904652
"556",57956.53,4.78,4544409
"557",55311.59,-3.42,3635675
"558",57267.53,0.37,4503165
"559",57058.48,-0.66,4807150
"560",57436.33,0.56,4874144
"561",57115.9,4.72,6714014
"562",54539.55,1.91,3708611
"563",53518.57,1.25,3986347
"564",52858.43,-2.32,4918814
"565",54115.98,-0.93,5222294
"566",54625.35,-4.52,5186403
"567",57212.38,2.23,2982205
"568",55962.08,-1.52,2845403
"569",56824.42,0.5,2848323
"570",56540.5,-0.49,3317225
"571",56818.11,-1.68,3814905
"572",57788.7,-1,3464679
"573",58374.48,-1.24,3848211
"574",59108.19,-0.01,3525814
"575",59114.66,2.01,4876263
"576",57948.76,1.79,2902308
"577",56927.81,-2.42,4620175
"578",58337.29,0.24,2893142
"579",58198.66,-0.81,3805783
"580",58676.34,-0.87,4461153
"581",59192.75,-2.45,4386039
"582",60681.98,-0.19,3808562
"583",60800.02,-1.68,4010702
"584",61837.04,-0.1,4164325
"585",61895.98,1.23,3995833
"586",61141.27,-0.24,2769066
"587",61288.15,1.65,4942427
"588",60290.87,-1.08,4462581
"589",60950.57,1.89,5389147
"590",59821.45,0.14,4014125
"591",59735.17,2.27,2875575
"592",58407.32,-0.99,2327337
"593",58992.11,0.19,3322025
"594",58878.24,0.73,3300089
"595",58449.29,1.54,3484966
"596",57560.72,1.05,3268252
"597",56963.65,2.12,3437709
"598",55780.41,0.36,3045366
"599",55581.19,-1.53,4810759
"600",56442.34,-0.3,2145016
"601",56613.32,1.87,2672473
"602",55572.93,-1.09,3017347
"603",56188.05,-0.53,3049233
"604",56487.18,0.51,4006168
"605",56202.1,-0.73,3752629
"606",56616.33,1.28,2195137
"607",55902.87,0.13,3229092
"608",55829.41,-1.84,3488629
"609",56877.97,-0.42,2446185
"610",57118.81,-1,2702091
"611",57695.72,-0.22,2366757
"612",57821.08,-0.27,2422236
"613",57977.56,0.97,3040095
"614",57419.96,-0.97,2735092
"615",57983.32,0.61,3010254
"616",57633.92,1.09,3034796
"617",57012.9,2.47,5296344
"618",55637.51,-0.14,3975724
"619",55717.36,-0.46,4094529
"620",55973.61,0.41,3222259
"621",55743.98,1.75,4170297
"622",54785.93,0.35,3377245
"623",54592.75,1.79,4720317
"624",53634.69,-0.31,1854587
"625",53801.83,-0.47,2194504
"626",54055.9,0.34,753841
"627",53874.58,1.59,3302860
"628",53028.78,-0.27,3156004
"629",53171.49,0.01,2693285
"630",53168.22,0.02,2448709
"631",53157.3,-0.65,2370839
"632",53506.75,0.15,2241337
"633",53425.74,-1.58,2953135
"634",54280.78,0.13,3121533
"635",54210.05,-0.78,1403090
"636",54638.19,-1.02,2347832
"637",55202.54,1.66,3265409
"638",54299.95,-0.6,1588438
"639",54629.55,-0.32,2637401
"640",54806.64,-0.54,2664409
"641",55102.44,0.91,3795996
"642",54604.34,0.61,3729893
"643",54273.16,2.15,3659965
"644",53128.66,3.04,4298352
"645",51558.79,-0.53,2890028
"646",51832.98,-0.38,2571541
"647",52032.38,0.83,2859368
"648",51605.83,0.72,2597872
"649",51239.34,-1.91,4533174
"650",52239.34,-0.76,2394259
"651",52639.75,0.89,2842506
"652",52173.98,-1.43,2894729
"653",52932.91,0.58,1186785
"654",52626.41,-0.34,2462301
"655",52806.22,1.15,2941428
"656",52203.37,-0.31,3248132
"657",52366.19,-1.85,3948600
"658",53353.1,-1.15,3089500
"659",53975.76,0.22,3541383
"660",53855.54,-1.02,3436116
"661",54412.54,0.94,2878868
"662",53907.46,-0.27,2956578
"663",54052.9,1.79,2744333
"664",53100.34,-0.6,3177920
"665",53422.37,-1.17,3344300
"666",54052.74,0.51,4569557
"667",53779.74,0.62,4965708
"668",53446.17,0.88,4441053
"669",52980.31,2.62,8106016
"670",51626.69,-0.41,4623574
"671",51838.61,0.89,4326286
"672",51383.68,-0.03,2711320
"673",51399.35,-0.81,2954727
"674",51817.45,0.48,3186896
"675",51569.69,-0.78,2843977
"676",51976.86,-0.26,3492932
"677",52111.85,1.78,3015507
"678",51200.56,1.48,3427146
"679",50454.35,-2.21,3858816
"680",51596.55,-0.52,2686846
"681",51867.29,1.45,3395276
"682",51127.48,-0.11,3588904
"683",51185.4,-0.86,4195258
"684",51629.07,-1.01,5496115
"685",52155.28,2.1,3673402
"686",51081.78,-0.63,3696164
"687",51408.21,-0.57,3503425
"688",51701.05,2.85,4790742
"689",50270.37,-0.29,3501176
"690",50414.92,1.3,3645866
"691",49768.06,0.24,4230514
"692",49646.79,3.5,5928204
"693",47965.61,-0.45,3439099
"694",48180.14,0.39,2953808
"695",47993.42,1.29,3008911
"696",47380.94,0.22,4187629
"697",47278.48,1.53,4364813
"698",46567.23,0.9,3337696
"699",46150.96,2.29,3593948
"700",45117.8,0.34,2929333
"701",44965.66,-1.05,3477104
"702",45443.83,-0.91,3118215
"703",45861.81,0.36,3021302
"704",45697.62,0.36,3281473
"705",45533.2,-1.54,3673613
"706",46244.07,-1.8,3982793
"707",47093.13,1.08,3164891
"708",46589,-1.07,2293041
"709",47094.4,-1.08,4088322
"710",47606.75,2.16,3046271
"711",46599.21,-0.25,3225697
"712",46715.91,-1.43,2924848
"713",47393.5,0.03,2990702
"714",47380.24,0.19,2605766
"715",47288.61,0.29,2996909
"716",47150.83,1.18,3995373
"717",46599.76,-2.05,3859991
"718",47576.33,-1.3,1884193
"719",48201.11,0.81,3192242
"720",47812.83,-0.84,3167107
"721",48216.89,-0.51,2766348
"722",48462.79,1.58,3379297
"723",47710.82,-0.75,2634451
"724",48073.6,0.7,3195823
"725",47738.09,2.39,3632232
"726",46624.39,-0.72,3358924
"727",46964.22,1.77,3471632
"728",46147.52,-3.13,3622077
"729",47638.99,0.84,3718733
"730",47244.26,-0.66,3108272
"731",47556.78,-0.59,3324893
"732",47840.93,0.29,2694500
"733",47701.05,-0.18,2936027
"734",47787.38,-1.1,3535017
"735",48320.64,-1.99,3881695
"736",49299.66,1.56,3873302
"737",48542.07,-0.34,3104365
"738",48708.41,-0.96,1413033
"739",49181.86,-1.04,2615016
"740",49696.28,-0.82,2944479
"741",50105.37,0.81,2835624
"742",49703.1,0.56,2887806
"743",49426.9,-0.54,2802960
"744",49696.45,0.76,3509559
"745",49321.68,-2.48,3702591
"746",50576.64,0.29,2916519
"747",50430.02,-1.07,3339481
"748",50973.62,-0.01,3727849
"749",50981.09,1.27,7360435
"750",50341.25,-2.26,3476344
"751",51507.16,0.47,2048584
"752",51266.56,0.09,2002577
"753",51221.01,-0.26,1810040
"754",51356.1,0,NA
"755",51356.1,0.33,2305799
"756",51185.74,-0.87,3715176
"757",51633.43,2.12,2963036
"758",50563.43,0.94,4527717
"759",50090.35,-0.38,2678314
"760",50279.61,0.46,2796526
"761",50051.18,-0.14,2875665
"762",50121.61,0.11,3049380
"763",50067.99,-1.81,3083141
"764",50993.02,-0.34,2127973
"765",51165.38,0.43,2277888
"766",50944.27,0.31,3353325
"767",50787.63,1.14,3672303
"768",50215.79,-0.26,3641167
"769",50348.89,-1.75,3683095
"770",51244.87,-2.36,3793550
"771",52482.49,1.23,2633458
"772",51846.83,-0.03,2416589
"773",51861.21,0.81,3108021
"774",51446.91,-1.56,3730188
"775",52263.51,-1.02,3075307
"776",52800.74,0.21,3467097
"777",52688.02,-0.65,3624589
"778",53032.91,-2.35,3649177
"779",54307.04,1.6,3320479
"780",53451.6,2.34,3609727
"781",52230.29,0.82,3415415
"782",51804.33,-1.56,3848194
"783",52623.87,0.72,2317839
"784",52248.86,-0.93,4105316
"785",52740.79,-1.21,4874307
"786",53384.6,-0.83,4258832
"787",53831.85,-1.11,3327669
"788",54436.92,0.78,2731024
"789",54013.24,-0.45,4094411
"790",54256.2,0.15,12953822
"791",54172.82,-0.67,6039235
"792",54538.8,-0.97,6136229
"793",55073.37,1.7,5796138
"794",54154.15,-1.32,4940331
"795",54877.15,-1.02,5649289
"796",55440.03,-1.81,4019188
"797",56460.38,0.68,4606973
"798",56077.43,1.26,4658514
"799",55378.46,0.04,5977542
"800",55358.13,-1.1,7207230
"801",55973.03,1.8,12960046
"802",54980.64,1.5,8575265
"803",54170.6,1.92,4094501
"804",53149.62,0.29,3052373
"805",52996.64,0.85,4136779
"806",52547.71,0.45,4212435
"807",52312.44,-0.2,4002546
